qid,source,page,difficulty,domain_code,domain,skill_code,skill,external_id,ibn,uid
12d5fc15,medium,99,M,H,Algebra,H.D.,Systems of two linear equations in two variables,35dd479c-36b2-4735-b768-ff3a7bb1d010,,44f3bb3c-191a-42c0-b76e-fee9a56bc2a7
a57a6b34,medium,100,M,H,Algebra,H.C.,Linear equations in two variables,,119117-DC,45292279-a791-4f2c-b8a2-f0b8a2d8043a
77871237,medium,101,M,H,Algebra,H.A.,Linear equations in one variable,,113201-DC,45390126-bce4-4e61-83a0-8a9672b81af2
3e9857a9,medium,102,M,H,Algebra,H.E.,Linear inequalities in one or two variables,af778a2f-5b25-40a3-9b6d-7e1567023fcc,,456a9ec1-d2bb-4d5d-b9d5-3f78f7c8cd66
ce483557,medium,103,M,H,Algebra,H.E.,Linear inequalities in one or two variables,,084303-DC,45b4d704-dcf7-4f44-bf1d-fe1a26578527
25d17742,medium,104,M,H,Algebra,H.C.,Linear equations in two variables,,077002-DC,46080e31-d9ea-488c-ac91-91e081713493
131f671c,medium,105,M,H,Algebra,H.B.,Linear functions,,034102-DC,46b96e74-8e8f-4f4f-926c-6b15831c09d9
b42369de,medium,106,M,H,Algebra,H.C.,Linear equations in two variables,cf1a55ee-b354-4b56-b978-0cf7488f3c0b,,4728b522-ea4a-42bd-b8f4-12e11bb27b28
fc6d3aa6,medium,107,M,H,Algebra,H.B.,Linear functions,db27870e-e421-4ffd-b4ad-84288fe2e44f,,478758a9-0b2a-40f5-9d76-e0eae5ea8248
5b8bb352,medium,108,M,H,Algebra,H.A.,Linear equations in one variable,,033311-DC,481fe516-8870-4782-b66a-9ae015794928
f8919a9d,medium,109,M,H,Algebra,H.B.,Linear functions,,041606-DC,48741937-4701-4d7d-a8ec-f47c5994cd1f
8c4880b8,medium,110,M,H,Algebra,H.B.,Linear functions,4aecfa3a-e14c-4a0a-b04a-ed314f201018,,48e102f5-9118-4878-b2a5-a44b470fc94f
6072af8d,medium,111,M,H,Algebra,H.A.,Linear equations in one variable,,044001-DC,4a347e6a-e484-47b6-a196-49ff33fcf5e5
8bfd0261,medium,112,M,H,Algebra,H.C.,Linear equations in two variables,,076901-DC,4a673a26-a0f3-4ff8-a2c1-972d2854c63a
b4fe3f14,medium,113,M,H,Algebra,H.D.,Systems of two linear equations in two variables,9d98df7b-8a9f-47a0-908e-76295bd31010,,4bb7f1db-adf0-47fd-aa30-7dd73fd82829
c8ea04e4,medium,114,M,H,Algebra,H.E.,Linear inequalities in one or two variables,79595cb9-65c8-4c65-a69f-e5e47a4ee7d2,,4c677365-3983-4fe7-843a-8ed89c0a6128
bf80fd93,medium,115,M,H,Algebra,H.B.,Linear functions,39f6f650-02bf-4214-85f8-f97ff958c7c8,,4eb10ef6-ff28-4e7b-860f-e8d45b9dfe08
3a088fd5,medium,116,M,H,Algebra,H.C.,Linear equations in two variables,,049005-DC,4f4bbfd8-1466-445b-a039-32c637c90e45
6c9e0d29,medium,117,M,H,Algebra,H.B.,Linear functions,,056712-DC,4f7e2e3c-e8cb-48ba-8cb7-c726d652fa67
c7dd8037,medium,118,M,H,Algebra,H.B.,Linear functions,,061302-DC,4fb6fbea-434e-45c7-abfa-158e25b9661d
74ffc2aa,medium,119,M,H,Algebra,H.A.,Linear equations in one variable,1b9a0607-4f2b-42b7-acac-a32eeab4bc2f,,5045219c-a3f8-449f-a63e-8a954194d0f5
a50b2970,medium,120,M,H,Algebra,H.C.,Linear equations in two variables,,085707-DC,512ef56f-f43a-48b4-8a38-e0c72ed05e42
874a4837,medium,121,M,H,Algebra,H.E.,Linear inequalities in one or two variables,,077010-DC,5299d893-adfb-4d93-8517-af342f6d62c5
98e93f5c,medium,122,M,H,Algebra,H.D.,Systems of two linear equations in two variables,0674ff91-dc50-4030-860d-f46155f2ec45,,5448ab9a-6ca9-480a-8842-e66ea9c9564e
109d0a27,medium,123,M,H,Algebra,H.C.,Linear equations in two variables,8cf414a1-672d-4eca-9d70-d964111d9000,,546fa95f-3797-4cc8-bc4a-3a53b2f9ec67
cbe37763,medium,124,M,H,Algebra,H.B.,Linear functions,,095611-DC,55bec0bd-1e26-4bff-951e-e91d6106f14b
68c4433e,medium,125,M,H,Algebra,H.B.,Linear functions,,047409-DC,5696f91c-b658-4186-bb10-c155b80f5df3
1f9b11ba,medium,126,M,H,Algebra,H.A.,Linear equations in one variable,bd2cd75e-cb4d-46ca-89eb-e9be593716f4,,56bac9cc-b540-4b85-8487-4b920e45e3a8
2ebd9e38,medium,127,M,H,Algebra,H.D.,Systems of two linear equations in two variables,201e2ad8-8fb3-4cb2-a3ba-8c2549574c32,,57b6783e-bf39-42aa-959b-6e489c1f610c
f0aebd66,medium,128,M,H,Algebra,H.A.,Linear equations in one variable,ccb4647f-bcfe-454e-a067-8fbce703a6b7,,5a19e20b-e0ec-4c52-b74a-2e6110b2b89a
a6f64969,medium,129,M,H,Algebra,H.D.,Systems of two linear equations in two variables,1d20df8d-a67c-4d58-b82e-d2fcc7a5cb2d,,5aa263bf-b9c4-4ca6-8bd8-837e90416a6e
3e9baae9,medium,130,M,H,Algebra,H.C.,Linear equations in two variables,,032921-DC,5bf62a51-54ce-492e-bcca-df704a728b74
493b745b,medium,131,M,H,Algebra,H.B.,Linear functions,,101702-DC,5dc9ddc7-f6a6-40f3-9d08-c7ba5f46978c
68ba5ef4,medium,132,M,H,Algebra,H.D.,Systems of two linear equations in two variables,45e80d9d-002d-42b3-9525-ed1b7697b854,,5e3b8b51-9747-4648-a0f1-7d2fb00f32d0
700f5a8e,medium,133,M,H,Algebra,H.B.,Linear functions,1832c301-dc46-4761-82ce-16c9f1a87ad7,,5e4f41d0-623f-481f-a755-702407db993e
360c7d78,medium,134,M,H,Algebra,H.A.,Linear equations in one variable,,057101-DC,5e6b18b9-1d70-437b-a12d-371a1c66e156
fdbf6eaa,medium,135,M,H,Algebra,H.D.,Systems of two linear equations in two variables,79a73a2e-32d3-4a0d-89c3-487f07c3776e,,5f7eb852-9496-4d2b-9ee5-98209dbcf66f
54f9f6d7,medium,136,M,H,Algebra,H.B.,Linear functions,,097304-DC,612a7697-3cd4-4d13-96a5-248658173a72
26ebaa0d,medium,137,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,058406-DC,62d3f620-01fa-4df6-af7c-e47cd1269007
5fdd6730,medium,138,M,H,Algebra,H.A.,Linear equations in one variable,,028904-DC,642d10fa-824e-45ef-9e0f-dcabbd207d27
1134e94e,medium,139,M,H,Algebra,H.C.,Linear equations in two variables,,060401-DC,64ab569c-ce7b-4f89-8888-8b57b46304cc
a5b4b683,medium,140,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,111420-DC,64f6ef10-28af-47fa-85fb-89d09f5feaf5
cb40f64e,medium,141,M,H,Algebra,H.C.,Linear equations in two variables,,085114-DC,6543b15c-dbe8-47da-b156-7c0cf1bab173
cc514a09,medium,142,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,045812-DC,65cb473f-8e48-469d-a2e3-19d906925aae
ae3d85e4,medium,143,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,058001-DC,6657e1b6-3064-4e53-938f-a2c421548826
cbefeeed,medium,144,M,H,Algebra,H.C.,Linear equations in two variables,,041001-DC,66a57463-354d-4560-81fa-d1ce7b461b83
1b20d1c5,medium,145,M,H,Algebra,H.E.,Linear inequalities in one or two variables,,043711-DC,67a72df4-0aeb-426d-9ef3-93ad7ed63021
b5cc0d36,medium,146,M,H,Algebra,H.D.,Systems of two linear equations in two variables,227193c6-f9b7-46a2-a1d4-acd60b431879,,67f06009-a729-4230-b5f0-9ef80f0f52c4
8ff84189,medium,147,M,H,Algebra,H.B.,Linear functions,,048901-DC,692f777a-3c45-4c7e-9b09-23796eb482b0
3907f914,medium,148,M,H,Algebra,H.C.,Linear equations in two variables,,063804-DC,69751a6e-68a3-45e0-9f04-1169d14c9c10
1c77f0d2,medium,149,M,H,Algebra,H.C.,Linear equations in two variables,951fc89d-474e-43fd-9303-0d253b0ca216,,6a23c7ce-ffbb-4af8-bef5-1aba31d34cb0
02d05e36,medium,150,M,H,Algebra,H.B.,Linear functions,4c78488c-9cbc-4c2b-a730-f1251a703de4,,6a75ee56-238c-4a27-a442-5544e70e642e
fa7b486f,medium,151,M,H,Algebra,H.B.,Linear functions,5993b31e-644b-486e-9f1f-a00e188a08c9,,6a7ab847-2b89-478d-a56d-2d58da1af413
db36b982,medium,152,M,H,Algebra,H.B.,Linear functions,733b81f1-2056-4a60-93cc-1004e7e17d15,,6a978f49-d617-4715-a11f-a7683b9de0ec
c8b72c6f,medium,153,M,H,Algebra,H.C.,Linear equations in two variables,,106404-DC,6b24211f-92cd-4280-b9b4-24d89d6cde31
f83db7ea,medium,154,M,H,Algebra,H.B.,Linear functions,3d01dd00-e842-4277-a031-f18696255357,,6bc7aa27-48d0-4d50-b2d9-a624c78cceac
07e940a8,medium,155,M,H,Algebra,H.C.,Linear equations in two variables,,092006-DC,6d5de3f4-2486-45c1-a3fc-84abdd8a3eb0
e51f9205,medium,156,M,H,Algebra,H.A.,Linear equations in one variable,,029806-DC,6d7c41b3-a3fa-42e9-9455-b3ad2be1dc67
390fe207,medium,157,M,H,Algebra,H.E.,Linear inequalities in one or two variables,7ffbc8c0-08e5-480f-b3cd-dabcf46a4aaf,,6e6965b5-e1ea-42b8-9d57-7e216a9b4e83
20ffbb56,medium,158,M,H,Algebra,H.A.,Linear equations in one variable,,109302-DC,6f8f2fc2-6555-46ba-83f2-f17b1fc6eb2d
586a0002,medium,159,M,H,Algebra,H.A.,Linear equations in one variable,,111703-DC,7027e293-59af-4e3e-b457-ab5bd1505009
c7befb61,medium,160,M,H,Algebra,H.C.,Linear equations in two variables,,046803-DC,7048341f-8cbf-4a53-b9e4-82e7953e9d63
3176a836,medium,161,M,H,Algebra,H.C.,Linear equations in two variables,bb014d47-d170-43ea-b6c7-e374e44ba4e1,,70506323-e285-4860-a95a-8112573f86e3
9ca26fcb,medium,162,M,H,Algebra,H.C.,Linear equations in two variables,,070813-DC,70a973e8-3912-4d9a-9bc6-7087590a690a
d81fce55,medium,163,M,H,Algebra,H.B.,Linear functions,,083214-DC,72cedf3e-1ba9-4f47-b1e8-2e6949a3c6bf
594843cb,medium,164,M,H,Algebra,H.A.,Linear equations in one variable,,104410-DC,737a1acd-0a1e-4c99-b4b5-6f773528e070
fef1e02a,medium,165,M,H,Algebra,H.B.,Linear functions,41f7f519-61a0-413e-a063-35d72127843c,,73e54bc2-4c7b-4747-82de-a861210640c8
